run,stream_size,B,step_pct,step_idx,prefix_size,F_t0,N_t
0,10000,10,5,1,500,500,510
0,10000,10,10,2,1000,995,1007
0,10000,10,15,3,1500,1490,1547
0,10000,10,20,4,2000,1981,2030
0,10000,10,25,5,2500,2469,2549
0,10000,10,30,6,3000,2956,2958
0,10000,10,35,7,3500,3440,3581
0,10000,10,40,8,4000,3924,4030
0,10000,10,45,9,4500,4408,4642
0,10000,10,50,10,5000,4888,4968
0,10000,10,55,11,5500,5368,5506
0,10000,10,60,12,6000,5845,6073
0,10000,10,65,13,6500,6324,6532
0,10000,10,70,14,7000,6805,7165
0,10000,10,75,15,7500,7285,7639
0,10000,10,80,16,8000,7772,8080
0,10000,10,85,17,8500,8249,8614
0,10000,10,90,18,9000,8736,9000
0,10000,10,95,19,9500,9224,9524
0,10000,10,100,20,10000,9702,9983
1,10000,10,5,1,500,497,488
1,10000,10,10,2,1000,987,978
1,10000,10,15,3,1500,1476,1499
1,10000,10,20,4,2000,1969,1981
1,10000,10,25,5,2500,2462,2382
1,10000,10,30,6,3000,2954,2922
1,10000,10,35,7,3500,3440,3549
1,10000,10,40,8,4000,3922,3933
1,10000,10,45,9,4500,4402,4471
1,10000,10,50,10,5000,4887,5263
1,10000,10,55,11,5500,5363,5472
1,10000,10,60,12,6000,5841,5965
1,10000,10,65,13,6500,6328,6506
1,10000,10,70,14,7000,6816,7024
1,10000,10,75,15,7500,7301,7598
1,10000,10,80,16,8000,7779,8012
1,10000,10,85,17,8500,8267,8473
1,10000,10,90,18,9000,8755,8878
1,10000,10,95,19,9500,9235,9590
1,10000,10,100,20,10000,9724,10182
2,10000,10,5,1,500,499,472
2,10000,10,10,2,1000,994,947
2,10000,10,15,3,1500,1487,1424
2,10000,10,20,4,2000,1977,2023
2,10000,10,25,5,2500,2460,2525
2,10000,10,30,6,3000,2953,2958
2,10000,10,35,7,3500,3435,3457
2,10000,10,40,8,4000,3924,3933
2,10000,10,45,9,4500,4405,4259
2,10000,10,50,10,5000,4889,4848
2,10000,10,55,11,5500,5377,5420
2,10000,10,60,12,6000,5859,6016
2,10000,10,65,13,6500,6350,6677
2,10000,10,70,14,7000,6832,7077
2,10000,10,75,15,7500,7313,7533
2,10000,10,80,16,8000,7802,7972
2,10000,10,85,17,8500,8282,8337
2,10000,10,90,18,9000,8764,8786
2,10000,10,95,19,9500,9245,9339
2,10000,10,100,20,10000,9725,9999
3,10000,10,5,1,500,499,502
3,10000,10,10,2,1000,994,1004
3,10000,10,15,3,1500,1488,1499
3,10000,10,20,4,2000,1979,1914
3,10000,10,25,5,2500,2470,2424
3,10000,10,30,6,3000,2960,2905
3,10000,10,35,7,3500,3444,3223
3,10000,10,40,8,4000,3928,3686
3,10000,10,45,9,4500,4413,4030
3,10000,10,50,10,5000,4896,4471
3,10000,10,55,11,5500,5375,5381
3,10000,10,60,12,6000,5858,5804
3,10000,10,65,13,6500,6345,6376
3,10000,10,70,14,7000,6831,6792
3,10000,10,75,15,7500,7324,7338
3,10000,10,80,16,8000,7808,7783
3,10000,10,85,17,8500,8293,8200
3,10000,10,90,18,9000,8775,8701
3,10000,10,95,19,9500,9261,9235
3,10000,10,100,20,10000,9750,9842
4,10000,10,5,1,500,497,499
4,10000,10,10,2,1000,990,1012
4,10000,10,15,3,1500,1482,1494
4,10000,10,20,4,2000,1974,1967
4,10000,10,25,5,2500,2462,2561
4,10000,10,30,6,3000,2951,3177
4,10000,10,35,7,3500,3427,3686
4,10000,10,40,8,4000,3910,3980
4,10000,10,45,9,4500,4398,4642
4,10000,10,50,10,5000,4882,5263
4,10000,10,55,11,5500,5366,5467
4,10000,10,60,12,6000,5851,5993
4,10000,10,65,13,6500,6336,6505
4,10000,10,70,14,7000,6825,6953
4,10000,10,75,15,7500,7311,7402
4,10000,10,80,16,8000,7798,7771
4,10000,10,85,17,8500,8287,8393
4,10000,10,90,18,9000,8775,8836
4,10000,10,95,19,9500,9253,9289
4,10000,10,100,20,10000,9735,9968
5,10000,10,5,1,500,497,506
5,10000,10,10,2,1000,994,1023
5,10000,10,15,3,1500,1492,1570
5,10000,10,20,4,2000,1980,2098
5,10000,10,25,5,2500,2464,2585
5,10000,10,30,6,3000,2951,3092
5,10000,10,35,7,3500,3436,3428
5,10000,10,40,8,4000,3921,4083
5,10000,10,45,9,4500,4402,4395
5,10000,10,50,10,5000,4890,4968
5,10000,10,55,11,5500,5369,5406
5,10000,10,60,12,6000,5844,5970
5,10000,10,65,13,6500,6326,6313
5,10000,10,70,14,7000,6807,6814
5,10000,10,75,15,7500,7294,7365
5,10000,10,80,16,8000,7777,7879
5,10000,10,85,17,8500,8261,8335
5,10000,10,90,18,9000,8734,8774
5,10000,10,95,19,9500,9221,9350
5,10000,10,100,20,10000,9712,9824
6,10000,10,5,1,500,497,493
6,10000,10,10,2,1000,991,1018
6,10000,10,15,3,1500,1482,1534
6,10000,10,20,4,2000,1973,2016
6,10000,10,25,5,2500,2463,2549
6,10000,10,30,6,3000,2945,3013
6,10000,10,35,7,3500,3436,3517
6,10000,10,40,8,4000,3916,4138
6,10000,10,45,9,4500,4397,4553
6,10000,10,50,10,5000,4881,4968
6,10000,10,55,11,5500,5365,5252
6,10000,10,60,12,6000,5851,5776
6,10000,10,65,13,6500,6339,6185
6,10000,10,70,14,7000,6824,6697
6,10000,10,75,15,7500,7305,7238
6,10000,10,80,16,8000,7779,7634
6,10000,10,85,17,8500,8265,8117
6,10000,10,90,18,9000,8743,8684
6,10000,10,95,19,9500,9223,9088
6,10000,10,100,20,10000,9705,9622
7,10000,10,5,1,500,497,494
7,10000,10,10,2,1000,993,1040
7,10000,10,15,3,1500,1480,1538
7,10000,10,20,4,2000,1970,2030
7,10000,10,25,5,2500,2459,2650
7,10000,10,30,6,3000,2948,3155
7,10000,10,35,7,3500,3430,3549
7,10000,10,40,8,4000,3913,4259
7,10000,10,45,9,4500,4395,5105
7,10000,10,50,10,5000,4873,5450
7,10000,10,55,11,5500,5353,5566
7,10000,10,60,12,6000,5835,6001
7,10000,10,65,13,6500,6320,6433
7,10000,10,70,14,7000,6798,6837
7,10000,10,75,15,7500,7283,7228
7,10000,10,80,16,8000,7770,7807
7,10000,10,85,17,8500,8247,8349
7,10000,10,90,18,9000,8727,9023
7,10000,10,95,19,9500,9205,9454
7,10000,10,100,20,10000,9686,10055
8,10000,10,5,1,500,494,494
8,10000,10,10,2,1000,989,973
8,10000,10,15,3,1500,1483,1452
8,10000,10,20,4,2000,1972,1927
8,10000,10,25,5,2500,2459,2525
8,10000,10,30,6,3000,2947,3013
8,10000,10,35,7,3500,3440,3517
8,10000,10,40,8,4000,3927,3980
8,10000,10,45,9,4500,4418,4138
8,10000,10,50,10,5000,4907,4642
8,10000,10,55,11,5500,5383,5441
8,10000,10,60,12,6000,5871,5886
8,10000,10,65,13,6500,6353,6345
8,10000,10,70,14,7000,6835,6881
8,10000,10,75,15,7500,7311,7271
8,10000,10,80,16,8000,7792,7902
8,10000,10,85,17,8500,8274,8539
8,10000,10,90,18,9000,8756,8836
8,10000,10,95,19,9500,9243,9344
8,10000,10,100,20,10000,9724,9702
9,10000,10,5,1,500,498,501
9,10000,10,10,2,1000,994,1010
9,10000,10,15,3,1500,1486,1584
9,10000,10,20,4,2000,1975,2067
9,10000,10,25,5,2500,2466,2501
9,10000,10,30,6,3000,2957,2872
9,10000,10,35,7,3500,3434,3295
9,10000,10,40,8,4000,3924,3686
9,10000,10,45,9,4500,4405,4083
9,10000,10,50,10,5000,4892,4642
9,10000,10,55,11,5500,5373,5208
9,10000,10,60,12,6000,5850,5716
9,10000,10,65,13,6500,6327,6202
9,10000,10,70,14,7000,6812,6699
9,10000,10,75,15,7500,7296,7296
9,10000,10,80,16,8000,7776,7749
9,10000,10,85,17,8500,8248,8136
9,10000,10,90,18,9000,8733,8640
9,10000,10,95,19,9500,9219,9157
9,10000,10,100,20,10000,9709,9729
10,10000,10,5,1,500,499,501
10,10000,10,10,2,1000,992,986
10,10000,10,15,3,1500,1483,1525
10,10000,10,20,4,2000,1974,1933
10,10000,10,25,5,2500,2463,2445
10,10000,10,30,6,3000,2951,2872
10,10000,10,35,7,3500,3441,3346
10,10000,10,40,8,4000,3928,3887
10,10000,10,45,9,4500,4410,4395
10,10000,10,50,10,5000,4893,4642
10,10000,10,55,11,5500,5377,5393
10,10000,10,60,12,6000,5864,5924
10,10000,10,65,13,6500,6343,6425
10,10000,10,70,14,7000,6828,6986
10,10000,10,75,15,7500,7314,7643
10,10000,10,80,16,8000,7798,7967
10,10000,10,85,17,8500,8283,8380
10,10000,10,90,18,9000,8766,8811
10,10000,10,95,19,9500,9254,9324
10,10000,10,100,20,10000,9730,9694
11,10000,10,5,1,500,500,493
11,10000,10,10,2,1000,993,1018
11,10000,10,15,3,1500,1486,1481
11,10000,10,20,4,2000,1971,2009
11,10000,10,25,5,2500,2455,2392
11,10000,10,30,6,3000,2942,2855
11,10000,10,35,7,3500,3426,3373
11,10000,10,40,8,4000,3916,3844
11,10000,10,45,9,4500,4397,4259
11,10000,10,50,10,5000,4878,4968
11,10000,10,55,11,5500,5360,5396
11,10000,10,60,12,6000,5842,5880
11,10000,10,65,13,6500,6327,6371
11,10000,10,70,14,7000,6815,6964
11,10000,10,75,15,7500,7298,7248
11,10000,10,80,16,8000,7781,7749
11,10000,10,85,17,8500,8261,8102
11,10000,10,90,18,9000,8750,8663
11,10000,10,95,19,9500,9226,9235
11,10000,10,100,20,10000,9706,9932
12,10000,10,5,1,500,498,496
12,10000,10,10,2,1000,994,1002
12,10000,10,15,3,1500,1486,1516
12,10000,10,20,4,2000,1975,1988
12,10000,10,25,5,2500,2464,2468
12,10000,10,30,6,3000,2955,2940
12,10000,10,35,7,3500,3440,3487
12,10000,10,40,8,4000,3927,3844
12,10000,10,45,9,4500,4408,4395
12,10000,10,50,10,5000,4895,4740
12,10000,10,55,11,5500,5376,5281
12,10000,10,60,12,6000,5853,5717
12,10000,10,65,13,6500,6334,6296
12,10000,10,70,14,7000,6823,6877
12,10000,10,75,15,7500,7309,7320
12,10000,10,80,16,8000,7788,7896
12,10000,10,85,17,8500,8267,8306
12,10000,10,90,18,9000,8751,8706
12,10000,10,95,19,9500,9234,9196
12,10000,10,100,20,10000,9713,9782
13,10000,10,5,1,500,496,507
13,10000,10,10,2,1000,990,1012
13,10000,10,15,3,1500,1485,1481
13,10000,10,20,4,2000,1980,1988
13,10000,10,25,5,2500,2461,2513
13,10000,10,30,6,3000,2949,3052
13,10000,10,35,7,3500,3427,3581
13,10000,10,40,8,4000,3907,4259
13,10000,10,45,9,4500,4390,4553
13,10000,10,50,10,5000,4874,4848
13,10000,10,55,11,5500,5357,5359
13,10000,10,60,12,6000,5839,5818
13,10000,10,65,13,6500,6321,6369
13,10000,10,70,14,7000,6803,6813
13,10000,10,75,15,7500,7286,7348
13,10000,10,80,16,8000,7772,7813
13,10000,10,85,17,8500,8254,8378
13,10000,10,90,18,9000,8728,8889
13,10000,10,95,19,9500,9210,9440
13,10000,10,100,20,10000,9689,9858
14,10000,10,5,1,500,497,496
14,10000,10,10,2,1000,987,994
14,10000,10,15,3,1500,1478,1507
14,10000,10,20,4,2000,1960,1947
14,10000,10,25,5,2500,2438,2382
14,10000,10,30,6,3000,2929,2855
14,10000,10,35,7,3500,3419,3428
14,10000,10,40,8,4000,3899,3933
14,10000,10,45,9,4500,4387,4325
14,10000,10,50,10,5000,4865,4848
14,10000,10,55,11,5500,5345,5431
14,10000,10,60,12,6000,5832,6038
14,10000,10,65,13,6500,6317,6457
14,10000,10,70,14,7000,6800,6823
14,10000,10,75,15,7500,7288,7307
14,10000,10,80,16,8000,7768,7780
14,10000,10,85,17,8500,8251,8276
14,10000,10,90,18,9000,8738,8867
14,10000,10,95,19,9500,9222,9279
14,10000,10,100,20,10000,9701,9895
15,10000,10,5,1,500,497,483
15,10000,10,10,2,1000,990,955
15,10000,10,15,3,1500,1483,1444
15,10000,10,20,4,2000,1972,1888
15,10000,10,25,5,2500,2459,2313
15,10000,10,30,6,3000,2946,2808
15,10000,10,35,7,3500,3430,3320
15,10000,10,40,8,4000,3923,3762
15,10000,10,45,9,4500,4405,3933
15,10000,10,50,10,5000,4891,4471
15,10000,10,55,11,5500,5371,5470
15,10000,10,60,12,6000,5850,5893
15,10000,10,65,13,6500,6333,6484
15,10000,10,70,14,7000,6813,7018
15,10000,10,75,15,7500,7303,7600
15,10000,10,80,16,8000,7780,8124
15,10000,10,85,17,8500,8255,8366
15,10000,10,90,18,9000,8735,8946
15,10000,10,95,19,9500,9219,9358
15,10000,10,100,20,10000,9707,9904
16,10000,10,5,1,500,500,484
16,10000,10,10,2,1000,995,973
16,10000,10,15,3,1500,1484,1465
16,10000,10,20,4,2000,1967,1988
16,10000,10,25,5,2500,2458,2456
16,10000,10,30,6,3000,2940,2976
16,10000,10,35,7,3500,3433,3650
16,10000,10,40,8,4000,3918,4138
16,10000,10,45,9,4500,4402,4740
16,10000,10,50,10,5000,4880,5105
16,10000,10,55,11,5500,5363,5208
16,10000,10,60,12,6000,5849,5784
16,10000,10,65,13,6500,6330,6225
16,10000,10,70,14,7000,6810,6659
16,10000,10,75,15,7500,7296,7202
16,10000,10,80,16,8000,7780,7480
16,10000,10,85,17,8500,8266,7969
16,10000,10,90,18,9000,8745,8448
16,10000,10,95,19,9500,9228,8893
16,10000,10,100,20,10000,9707,9421
17,10000,10,5,1,500,499,489
17,10000,10,10,2,1000,995,986
17,10000,10,15,3,1500,1489,1481
17,10000,10,20,4,2000,1979,2016
17,10000,10,25,5,2500,2465,2490
17,10000,10,30,6,3000,2952,3032
17,10000,10,35,7,3500,3436,3517
17,10000,10,40,8,4000,3914,3980
17,10000,10,45,9,4500,4401,4848
17,10000,10,50,10,5000,4877,5263
17,10000,10,55,11,5500,5358,5495
17,10000,10,60,12,6000,5843,6017
17,10000,10,65,13,6500,6324,6607
17,10000,10,70,14,7000,6809,7108
17,10000,10,75,15,7500,7296,7639
17,10000,10,80,16,8000,7776,8032
17,10000,10,85,17,8500,8255,8680
17,10000,10,90,18,9000,8738,9036
17,10000,10,95,19,9500,9222,9514
17,10000,10,100,20,10000,9704,10025
18,10000,10,5,1,500,497,507
18,10000,10,10,2,1000,993,988
18,10000,10,15,3,1500,1487,1503
18,10000,10,20,4,2000,1979,1933
18,10000,10,25,5,2500,2468,2413
18,10000,10,30,6,3000,2958,3013
18,10000,10,35,7,3500,3441,3650
18,10000,10,40,8,4000,3930,4030
18,10000,10,45,9,4500,4410,4197
18,10000,10,50,10,5000,4895,4553
18,10000,10,55,11,5500,5374,5320
18,10000,10,60,12,6000,5857,5755
18,10000,10,65,13,6500,6341,6166
18,10000,10,70,14,7000,6823,6631
18,10000,10,75,15,7500,7307,7088
18,10000,10,80,16,8000,7794,7535
18,10000,10,85,17,8500,8278,8143
18,10000,10,90,18,9000,8762,8592
18,10000,10,95,19,9500,9239,8995
18,10000,10,100,20,10000,9719,9465
19,10000,10,5,1,500,499,512
19,10000,10,10,2,1000,995,978
19,10000,10,15,3,1500,1489,1520
19,10000,10,20,4,2000,1981,2060
19,10000,10,25,5,2500,2473,2501
19,10000,10,30,6,3000,2962,2922
19,10000,10,35,7,3500,3442,3400
19,10000,10,40,8,4000,3928,3887
19,10000,10,45,9,4500,4417,4553
19,10000,10,50,10,5000,4904,5105
19,10000,10,55,11,5500,5384,5420
19,10000,10,60,12,6000,5867,5889
19,10000,10,65,13,6500,6351,6428
19,10000,10,70,14,7000,6840,6728
19,10000,10,75,15,7500,7328,7325
19,10000,10,80,16,8000,7812,7823
19,10000,10,85,17,8500,8294,8176
19,10000,10,90,18,9000,8779,8695
19,10000,10,95,19,9500,9266,9384
19,10000,10,100,20,10000,9753,9967
0,50000,10,5,1,2500,2470,2468
0,50000,10,10,2,5000,4898,5210
0,50000,10,15,3,7500,7322,7855
0,50000,10,20,4,10000,9731,10335
0,50000,10,25,5,12500,12153,12833
0,50000,10,30,6,15000,14551,15351
0,50000,10,35,7,17500,16965,17525
0,50000,10,40,8,20000,19376,20095
0,50000,10,45,9,22500,21783,22551
0,50000,10,50,10,25000,24191,25086
0,50000,10,55,11,27500,26581,27646
0,50000,10,60,12,30000,28979,30353
0,50000,10,65,13,32500,31361,32740
0,50000,10,70,14,35000,33768,35747
0,50000,10,75,15,37500,36165,38172
0,50000,10,80,16,40000,38558,40030
0,50000,10,85,17,42500,40946,42551
0,50000,10,90,18,45000,43352,44185
0,50000,10,95,19,47500,45746,46918
0,50000,10,100,20,50000,48141,48994
1,50000,10,5,1,2500,2463,2435
1,50000,10,10,2,5000,4897,5105
1,50000,10,15,3,7500,7307,7492
1,50000,10,20,4,10000,9698,10029
1,50000,10,25,5,12500,12105,12039
1,50000,10,30,6,15000,14508,14287
1,50000,10,35,7,17500,16912,16692
1,50000,10,40,8,20000,19304,19027
1,50000,10,45,9,22500,21700,20832
1,50000,10,50,10,25000,24102,23186
1,50000,10,55,11,27500,26498,25017
1,50000,10,60,12,30000,28905,27315
1,50000,10,65,13,32500,31292,29367
1,50000,10,70,14,35000,33687,31804
1,50000,10,75,15,37500,36100,34265
1,50000,10,80,16,40000,38504,36322
1,50000,10,85,17,42500,40903,38809
1,50000,10,90,18,45000,43303,41108
1,50000,10,95,19,47500,45681,43504
1,50000,10,100,20,50000,48070,45810
2,50000,10,5,1,2500,2460,2435
2,50000,10,10,2,5000,4894,4848
2,50000,10,15,3,7500,7292,6828
2,50000,10,20,4,10000,9712,8961
2,50000,10,25,5,12500,12111,11164
2,50000,10,30,6,15000,14505,13579
2,50000,10,35,7,17500,16903,15606
2,50000,10,40,8,20000,19297,17702
2,50000,10,45,9,22500,21685,19862
2,50000,10,50,10,25000,24084,21844
2,50000,10,55,11,27500,26476,24093
2,50000,10,60,12,30000,28883,26804
2,50000,10,65,13,32500,31266,29371
2,50000,10,70,14,35000,33667,32036
2,50000,10,75,15,37500,36062,34309
2,50000,10,80,16,40000,38458,36149
2,50000,10,85,17,42500,40848,37838
2,50000,10,90,18,45000,43219,40648
2,50000,10,95,19,47500,45607,43452
2,50000,10,100,20,50000,47989,45734
3,50000,10,5,1,2500,2457,2490
3,50000,10,10,2,5000,4888,4553
3,50000,10,15,3,7500,7295,6644
3,50000,10,20,4,10000,9709,9051
3,50000,10,25,5,12500,12122,11204
3,50000,10,30,6,15000,14551,13626
3,50000,10,35,7,17500,16946,15973
3,50000,10,40,8,20000,19353,17918
3,50000,10,45,9,22500,21742,20209
3,50000,10,50,10,25000,24153,23160
3,50000,10,55,11,27500,26544,26346
3,50000,10,60,12,30000,28930,28724
3,50000,10,65,13,32500,31311,30640
3,50000,10,70,14,35000,33716,33227
3,50000,10,75,15,37500,36114,35069
3,50000,10,80,16,40000,38515,36887
3,50000,10,85,17,42500,40907,39516
3,50000,10,90,18,45000,43324,41095
3,50000,10,95,19,47500,45703,43363
3,50000,10,100,20,50000,48073,45867
4,50000,10,5,1,2500,2471,2445
4,50000,10,10,2,5000,4912,5146
4,50000,10,15,3,7500,7334,7557
4,50000,10,20,4,10000,9752,9573
4,50000,10,25,5,12500,12175,11640
4,50000,10,30,6,15000,14598,14012
4,50000,10,35,7,17500,16999,16435
4,50000,10,40,8,20000,19381,18985
4,50000,10,45,9,22500,21767,20710
4,50000,10,50,10,25000,24164,22785
4,50000,10,55,11,27500,26557,24701
4,50000,10,60,12,30000,28952,27127
4,50000,10,65,13,32500,31347,29532
4,50000,10,70,14,35000,33745,31720
4,50000,10,75,15,37500,36140,33933
4,50000,10,80,16,40000,38531,36535
4,50000,10,85,17,42500,40937,38586
4,50000,10,90,18,45000,43318,40875
4,50000,10,95,19,47500,45716,42848
4,50000,10,100,20,50000,48092,44887
5,50000,10,5,1,2500,2466,2372
5,50000,10,10,2,5000,4896,4642
5,50000,10,15,3,7500,7307,7171
5,50000,10,20,4,10000,9722,9660
5,50000,10,25,5,12500,12139,11914
5,50000,10,30,6,15000,14537,15016
5,50000,10,35,7,17500,16943,17400
5,50000,10,40,8,20000,19363,20257
5,50000,10,45,9,22500,21754,22862
5,50000,10,50,10,25000,24167,25202
5,50000,10,55,11,27500,26547,27109
5,50000,10,60,12,30000,28946,29362
5,50000,10,65,13,32500,31330,31459
5,50000,10,70,14,35000,33720,33898
5,50000,10,75,15,37500,36106,35736
5,50000,10,80,16,40000,38495,37729
5,50000,10,85,17,42500,40892,40247
5,50000,10,90,18,45000,43278,42518
5,50000,10,95,19,47500,45679,45006
5,50000,10,100,20,50000,48061,46888
6,50000,10,5,1,2500,2453,2479
6,50000,10,10,2,5000,4875,4642
6,50000,10,15,3,7500,7297,7402
6,50000,10,20,4,10000,9687,9629
6,50000,10,25,5,12500,12121,11700
6,50000,10,30,6,15000,14532,14116
6,50000,10,35,7,17500,16943,16382
6,50000,10,40,8,20000,19345,18464
6,50000,10,45,9,22500,21753,20861
6,50000,10,50,10,25000,24176,23599
6,50000,10,55,11,27500,26574,25063
6,50000,10,60,12,30000,28966,27271
6,50000,10,65,13,32500,31365,29159
6,50000,10,70,14,35000,33762,31844
6,50000,10,75,15,37500,36177,34064
6,50000,10,80,16,40000,38585,36568
6,50000,10,85,17,42500,40970,39551
6,50000,10,90,18,45000,43347,42041
6,50000,10,95,19,47500,45752,45084
6,50000,10,100,20,50000,48146,47361
7,50000,10,5,1,2500,2470,2468
7,50000,10,10,2,5000,4878,5105
7,50000,10,15,3,7500,7285,6877
7,50000,10,20,4,10000,9701,9164
7,50000,10,25,5,12500,12099,11450
7,50000,10,30,6,15000,14489,14152
7,50000,10,35,7,17500,16899,16395
7,50000,10,40,8,20000,19291,18695
7,50000,10,45,9,22500,21691,21491
7,50000,10,50,10,25000,24083,23150
7,50000,10,55,11,27500,26487,25086
7,50000,10,60,12,30000,28887,26756
7,50000,10,65,13,32500,31301,29144
7,50000,10,70,14,35000,33703,31277
7,50000,10,75,15,37500,36102,34969
7,50000,10,80,16,40000,38487,37300
7,50000,10,85,17,42500,40894,40384
7,50000,10,90,18,45000,43286,42949
7,50000,10,95,19,47500,45665,44320
7,50000,10,100,20,50000,48037,46644
8,50000,10,5,1,2500,2463,2573
8,50000,10,10,2,5000,4900,5678
8,50000,10,15,3,7500,7308,7312
8,50000,10,20,4,10000,9705,9722
8,50000,10,25,5,12500,12110,12254
8,50000,10,30,6,15000,14507,14752
8,50000,10,35,7,17500,16923,17156
8,50000,10,40,8,20000,19351,19476
8,50000,10,45,9,22500,21754,21434
8,50000,10,50,10,25000,24153,23808
8,50000,10,55,11,27500,26559,26161
8,50000,10,60,12,30000,28948,28448
8,50000,10,65,13,32500,31351,31241
8,50000,10,70,14,35000,33744,33917
8,50000,10,75,15,37500,36142,35302
8,50000,10,80,16,40000,38532,37185
8,50000,10,85,17,42500,40942,39026
8,50000,10,90,18,45000,43325,40774
8,50000,10,95,19,47500,45719,43078
8,50000,10,100,20,50000,48107,45151
9,50000,10,5,1,2500,2460,2479
9,50000,10,10,2,5000,4888,4968
9,50000,10,15,3,7500,7289,7398
9,50000,10,20,4,10000,9702,9681
9,50000,10,25,5,12500,12117,12449
9,50000,10,30,6,15000,14528,15081
9,50000,10,35,7,17500,16928,17384
9,50000,10,40,8,20000,19336,19934
9,50000,10,45,9,22500,21737,22588
9,50000,10,50,10,25000,24143,25050
9,50000,10,55,11,27500,26545,26940
9,50000,10,60,12,30000,28946,29476
9,50000,10,65,13,32500,31319,31539
9,50000,10,70,14,35000,33719,33680
9,50000,10,75,15,37500,36117,36094
9,50000,10,80,16,40000,38510,39596
9,50000,10,85,17,42500,40923,42035
9,50000,10,90,18,45000,43307,44334
9,50000,10,95,19,47500,45694,46131
9,50000,10,100,20,50000,48075,47657
10,50000,10,5,1,2500,2449,2435
10,50000,10,10,2,5000,4883,4642
10,50000,10,15,3,7500,7311,7236
10,50000,10,20,4,10000,9726,9841
10,50000,10,25,5,12500,12124,12331
10,50000,10,30,6,15000,14497,14776
10,50000,10,35,7,17500,16909,17631
10,50000,10,40,8,20000,19333,20039
10,50000,10,45,9,22500,21725,22120
10,50000,10,50,10,25000,24104,24705
10,50000,10,55,11,27500,26502,26886
10,50000,10,60,12,30000,28904,29821
10,50000,10,65,13,32500,31307,32571
10,50000,10,70,14,35000,33702,35030
10,50000,10,75,15,37500,36082,37613
10,50000,10,80,16,40000,38481,39277
10,50000,10,85,17,42500,40906,41910
10,50000,10,90,18,45000,43308,44228
10,50000,10,95,19,47500,45698,46978
10,50000,10,100,20,50000,48079,49613
11,50000,10,5,1,2500,2452,2424
11,50000,10,10,2,5000,4891,4642
11,50000,10,15,3,7500,7295,7511
11,50000,10,20,4,10000,9719,9911
11,50000,10,25,5,12500,12125,11940
